Pelicula,Recomendaciones
Clear and Present Danger,"['Patriot Games', 'Damien: Omen II', 'The Omen', 'The Hunt for Red October', 'The Equalizer']"
The Client,"['Falling Down', 'Under Siege', 'That Night', 'Natural Born Killers', 'A Time to Kill']"
"Corrina, Corrina","['Angus', 'Now and Then', 'Secondhand Lions', 'Torch Song Trilogy', '8 Seconds']"
Crooklyn,"['The Best Man', 'Do the Right Thing', ""Mo' Better Blues"", 'Jungle Fever', 'Clockers']"
The Crow,"['American Psycho', 'Bullets Over Broadway', 'The Man Who Knew Infinity', 'The Bad Lieutenant: Port of Call - New Orleans', 'The Crossing Guard']"
Cobb,"['That Night', 'The Client', 'Falling Down', 'Under Siege', 'Natural Born Killers']"
Forrest Gump,"['Forrest Gump', 'Harold and Maude', '200 Cigarettes', 'Soapdish', 'Frankie and Johnny']"
Four Weddings and a Funeral,"['Elizabeth', 'Fargo', 'The Big Lebowski', 'The Hudsucker Proxy', 'Dead Man Walking']"
Higher Learning,"['Baby Boy', 'Boyz n the Hood', 'Ice Castles', ""Lovin' Molly"", 'Harry and Walter Go To New York']"
I Like It Like That,"['Modern Romance', 'Confessions from a Holiday Camp', 'Ice Castles', ""Lovin' Molly"", 'Stir Crazy']"
It Could Happen to You,"['It Could Happen to You', 'Sleepless in Seattle', 'Nothing in Common', 'Husbands and Wives', ""My Best Friend's Wedding""]"
"The Wonderful, Horrible Life of Leni Riefenstahl","['Stadtgespräch', 'Distant Voices, Still Lives', 'Close', 'Stations of the Cross', 'The Last of England']"
The Lion King,"['Dinosaur', 'Lilo & Stitch', 'Pocahontas', 'Mulan', ""The Emperor's New Groove""]"
Little Buddha,"['The Long Walk Home', 'Sling Blade', 'Smoke', 'The House of Yes', 'The Mighty']"
New Nightmare,"['In the Mouth of Madness', 'Blink', 'The Little Vampire', 'Live Wire', 'The Players Club']"
The Mask,"['Torch Song Trilogy', 'Above the Rim', 'Blow', '8 Seconds', 'Damage']"
Maverick,"['The Man without a Face', 'Forever Young', 'Payback: Straight Up', 'The Ballad of Cable Hogue', 'Apocalypto']"
Mrs. Parker and the Vicious Circle,"['Deconstructing Harry', 'Tumbleweeds', 'My Own Private Idaho', 'The Sleeping Dictionary', 'The Rapture']"
The Naked Gun 33⅓: The Final Insult,"['The Naked Gun: From the Files of Police Squad!', 'The Naked Gun 2½: The Smell of Fear', 'The Longest Yard', 'The Gambler', 'Internal Affairs']"
The Paper,"['Liar Liar', 'Apollo 13', 'Closet Land', 'Parenthood', 'Life']"
Reality Bites,"['Out of Sight', 'Erin Brockovich', 'Fierce Creatures', 'How High', 'Matilda']"
Red Rock West,"['Thursday', 'The Portrait of a Lady', ""A Pig's Tale"", 'Candyman', 'Return to Paradise']"
The River Wild,"['Running Scared', 'Caveman', 'The Drowning Pool', 'The Thing', 'Short Circuit']"
Speed,"['Sky Riders', 'French Connection II', 'Wall Street', 'Brubaker', 'Rapid Fire']"
True Lies,"['Titanic', 'The Abyss', 'Rapid Fire', 'Kung Pow: Enter the Fist', 'French Connection II']"
When a Man Loves a Woman,"['The Other Sister', 'Mumford', 'New York Stories', 'Barefoot', 'Sweet Home Alabama']"
Wolf,"['Groundhog Day', 'Ghostbusters II', 'Kung Fu Hustle', 'The Golden Voyage of Sinbad', 'The Craft']"
Wyatt Earp,"['The Bodyguard', 'The Ballad of Cable Hogue', 'McCabe & Mrs. Miller', 'There Was a Crooked Man...', 'The Frisco Kid']"
A Man of No Importance,"[""Bridget Jones's Diary"", ""In My Father's Den"", 'Immortal Beloved', 'A Long Way Down', 'Tour de Force']"
S.F.W.,"['Waking the Dead', 'Panther', 'The Big Lebowski', 'The Adventures of Priscilla, Queen of the Desert', 'A Home of Our Own']"
A Low Down Dirty Shame,"['While You Were Sleeping', 'Houseguest', 'Simon Birch', 'Powder', 'Dead Presidents']"
The Secret Adventures of Tom Thumb,"['The Cathedral', 'Zone of the Enders: Idolo', 'Tamala 2010: A Punk Cat in Space', 'Iria: Zeiram the Animation', 'Patlabor 2: The Movie']"
Coldblooded,"['Threesome', 'Dumb and Dumber', 'Thursday', 'The Portrait of a Lady', 'A Princess for Christmas']"
Fall Time,"['Killing Zoe', 'Robin Williams: A Night at the Met', 'Suicide Kings', 'Framed', 'Electrick Children']"
Frank and Ollie,"['Glory Road', 'Million Dollar Arm', 'Candleshoe', 'One Little Indian', 'Cool Runnings']"
Girl in the Cadillac,"['Bitter Sugar', 'Assault on Precinct 13', 'King of Comedy', 'A Map of the World', 'The God of Cookery']"
In the Mouth of Madness,"['New Nightmare', 'Blink', 'The Little Vampire', 'Live Wire', 'The Players Club']"
8 Seconds,"['Damage', 'The Notebook', 'Torch Song Trilogy', 'The Players Club', 'Life as a House']"
Above the Rim,"['Blow', 'Boiler Room', 'Menace II Society', 'Set It Off', 'The Players Club']"
Addams Family Values,"['The Addams Family', 'Mother', 'The Truman Show', 'Extremely Loud & Incredibly Close', 'The Hours']"
The Age of Innocence,"['The Age of Innocence', 'Poetic Justice', ""St. Elmo's Fire"", 'Closer', ""Can't Hardly Wait""]"
Barcelona,"['Trick', 'My Own Private Idaho', 'The Sleeping Dictionary', 'Deconstructing Harry', 'Tumbleweeds']"
Black Beauty,"['White Hunter Black Heart', 'Tango & Cash', 'The In-Laws', 'The Mosquito Coast', 'The Sheltering Sky']"
Blink,"['Boiler Room', 'Above the Rim', 'Blow', 'In the Mouth of Madness', 'Rush Hour']"
Blown Away,"['Moll Flanders', 'Taffin', '...tick... tick... tick...', 'Brass Target', 'Of Mice and Men']"
Blue Sky,"['Broadway Danny Rose', 'Heart Beat', 'Arthur', 'Mermaids', 'Alice']"
A Bronx Tale,"['Three Wishes', 'Citizen Cohn', 'Serial Mom', 'Barbarians at the Gate', 'The Positively True Adventures of the Alleged Texas Cheerleader Murdering Mom']"
Carlito's Way,"['The Hunted', 'The Ambulance', 'Macon County Line', 'Scarface', 'Charley Varrick']"
Cliffhanger,"['Basic Instinct', 'Q & A', 'Rambo: First Blood Part II', 'Chaplin', 'Music Box']"
Dave,"['Lethal Weapon 4', 'Conspiracy Theory', 'Radio Flyer', 'Free Willy', 'Assassins']"
Dazed and Confused,"['Naked', 'Reach The Rock', 'Withnail & I', 'King of the Hill', 'The King of Marvin Gardens']"
Demolition Man,"['Romeo Must Die', 'Kiss Kiss Bang Bang', 'Lethal Weapon', 'Lethal Weapon 2', 'Lethal Weapon 3']"
The Endless Summer 2,"['Unzipped', 'The Endless Summer 2', 'The Gate of Heavenly Peace', 'American Dream', 'Paris is Burning']"
Farewell My Concubine,"['Ju Dou', 'The Blue Kite', 'Springtime in a Small Town', 'Ashes of Time', ""Zhou Yu's Train""]"
Fearless,"['With Honors', 'Liberty Heights', 'The Perfect Storm', 'This Is Where I Leave You', 'Analyze This']"
With Honors,"['Fearless', 'Liberty Heights', 'This Is Where I Leave You', 'The Perfect Storm', 'Analyze This']"
Flesh and Bone,"['Fearless', 'With Honors', 'Recount', 'Major League', 'Liberty Heights']"
The Firm,"['Major League', 'Searching for Bobby Fischer', 'Presumed Innocent', 'Absence of Malice', 'Sense and Sensibility']"
Free Willy,"['Lethal Weapon 4', 'Conspiracy Theory', 'Dave', 'Radio Flyer', 'Assassins']"
Fresh,"['Heaven', ""Things to Do in Denver When You're Dead"", 'Kids', 'The Crossing Guard', 'The Matador']"
The Fugitive,"['The Yakuza', 'The Last of Sheila', 'The Pelican Brief', 'Magnum Force', 'The Enforcer']"
Hard Target,"['The Mummy', 'Darkman', 'Johnny English Reborn', 'The Evil Dead', 'Trespass']"
Heaven & Earth,"['The Sunchaser', 'A Time to Kill', 'The Negotiator', 'Under Siege', 'That Night']"
Hot Shots! Part Deux,"['Hot Shots!', 'Little Murders', 'Kidco', 'Kung Pow: Enter the Fist', 'Patton']"
The Englishman Who Went Up a Hill But Came Down a Mountain,"['Ladybird Ladybird', 'Bread and Roses', 'Flirting with Disaster', 'Riff-Raff', 'Restoration']"
The House of the Spirits,"['Europa', 'Show Me Love', 'Ronal the Barbarian', 'Lilya 4-ever', 'Werner - Beinhart!']"
The Hudsucker Proxy,"['Fargo', 'Four Weddings and a Funeral', 'Elizabeth', 'The Big Lebowski', 'A Home of Our Own']"
In the Line of Fire,"['Dolores Claiborne', 'City Hall', 'Beyond Rangoon', 'Othello', 'The American President']"
In the Name of the Father,"['The Boxer', 'On the Edge', ""Some Mother's Son"", 'In America', 'Bloody Sunday']"
What's Love Got to Do with It,"['Sister Act', 'The Program', 'The War at Home', 'Kundun', 'Country']"
Judgment Night,"['Point Break', 'Used People', 'Box of Moonlight', 'Mystery Train', 'Ten Minutes Older: The Trumpet']"
Jurassic Park,"['The Lost World: Jurassic Park', 'E.T. the Extra-Terrestrial', 'Batteries not Included', 'Small Soldiers', 'To Wong Foo, Thanks for Everything! Julie Newmar']"
Kalifornia,"['Gang Related', 'Con Air', 'Red Rock West', 'Thursday', 'Sleepers']"
Killing Zoe,"['Suicide Kings', 'Fall Time', 'Electrick Children', 'The Way of the Gun', 'Dead or Alive']"
King of the Hill,"['Reach The Rock', 'Something New', 'Backbeat', 'The Trigger Effect', 'S.F.W.']"
Lassie,"['On a Clear Day You Can See Forever', 'Uncommon Valor', 'The Perfect Weapon', 'Last Holiday', 'The Warriors']"
Last Action Hero,"['Ghostbusters II', 'The Horsemen', 'The Golden Voyage of Sinbad', 'Breakout', 'Used Cars']"
M. Butterfly,"['The Butcher Boy', 'Michael Collins', 'Defending Your Life', ""Men Don't Leave"", 'Beetlejuice']"
The Man without a Face,"['Maverick', 'Forever Young', 'One Eight Seven', 'Payback: Straight Up', 'Anna Karenina']"
Manhattan Murder Mystery,"['The Fisher King', 'Flashpoint', ""My Best Friend's Wedding"", 'Rudy', 'The Natural']"
Menace II Society,"['Set It Off', 'Above the Rim', 'Blow', 'Rush Hour', 'Rush Hour 2']"
In the Realm of the Senses,"['Empire of Passion', 'Sunless', 'Coup de grâce', 'Carry On Loving', 'La belle captive']"
What Happened Was...,"['The Perez Family', 'The Sum of Us', 'The Playboys', 'Longtime Companion', 'A Prayer for the Dying']"
Much Ado About Nothing,"['Reckless', 'Surviving Desire', 'El Norte', 'My Family', 'The Evil Dead']"
Mrs. Doubtfire,"['Max Dugan Returns', 'Because of Winn-Dixie', 'Bulworth', ""White Men Can't Jump"", 'Breaking Away']"
Naked,"['Withnail & I', 'Mona Lisa', 'The King of Marvin Gardens', 'Quadrophenia', 'Monsoon Wedding']"
No Escape,"['Brother John', 'A Safe Place', 'The Adventures of Baron Munchausen', 'James and the Giant Peach', 'Silverado']"
Orlando,"['Shadow', 'The Blonde Around the Corner', 'My Friend Ivan Lapshin', 'Monologue', 'Treasure Island']"
A Perfect World,"['The Gauntlet', 'The Dead Pool', 'Blood Work', 'Trouble with the Curve', 'Dirty Harry']"
Philadelphia,"['Rachel Getting Married', 'Neil Young Journeys', 'Mandela', 'The Manchurian Candidate', ""Ulee's Gold""]"
The Piano,"['Love Serenade', 'Lantana', 'The Goddess of 1967', 'The Odd Angry Shot', 'Beneath Hill 60']"
Poetic Justice,"['The Age of Innocence', 'Poetic Justice', ""St. Elmo's Fire"", 'Closer', ""Can't Hardly Wait""]"
The Program,"['The War at Home', 'Kundun', 'Country', 'Cradle Will Rock', 'The Doctor']"
The Ref,"['Bad Boys', 'Crimson Tide', 'Bad Boys II', 'The Rock', 'Dangerous Minds']"
The Remains of the Day,"['Heights', 'Bombay Talkie', 'Maurice', 'The Golden Bowl', 'Roseland']"
Robin Hood: Men in Tights,"['History of the World: Part I', 'To Be or Not to Be', 'Little Murders', 'Kidco', 'Bulworth']"
Romper Stomper,"['The Last Wave', 'Proof', ""The Devil's Playground"", 'Oranges', 'The Mysterious Geographic Explorations of Jasper Morello']"
Rudy,"['The Natural', 'Songwriter', 'The Fisher King', 'Only You', 'It Could Happen to You']"
Savage Nights,"['The Gendarme and the Gendarmettes', 'The Gendarme Takes Off', 'Holy Year', 'The Mad Adventures of Rabbi Jacob', 'The Valley']"
Schindler's List,"['To Wong Foo, Thanks for Everything! Julie Newmar', 'How To Make An American Quilt', 'The Money Pit', 'Empire of the Sun', 'An American Tail']"
Searching for Bobby Fischer,"['Major League', 'Breaking and Entering', 'Sense and Sensibility', 'Absence of Malice', 'Presumed Innocent']"
The Secret Garden,"['The Outsiders', 'THX 1138', 'Youth Without Youth', 'Lost in Translation', 'The Virgin Suicides']"
Serial Mom,"['Pecker', 'Three Wishes', 'A Bronx Tale', 'White Water Summer', 'Last of the Dogmen']"
Shadowlands,"['Three Wishes', 'A Bronx Tale', 'Last of the Dogmen', 'Serial Mom', 'American History X']"
Short Cuts,"['The Player', 'Deconstructing Harry', 'Tumbleweeds', 'Normal Life', 'Trick']"
Six Degrees of Separation,"['A Dry White Season', 'Mulholland Falls', 'Coma', 'Diner', 'Barbershop']"
Sleepless in Seattle,"['It Could Happen to You', 'Sleepless in Seattle', 'Nothing in Common', 'Husbands and Wives', ""My Best Friend's Wedding""]"
Blade Runner,"['Star 80', 'Body Heat', 'Once Upon a Time in America', 'The Right Stuff', 'Police Academy']"
So I Married an Axe Murderer,"['See No Evil, Hear No Evil', 'The Freshman', ""My Best Friend's Wedding"", 'Only You', 'It Could Happen to You']"
Surviving the Game,"['Cellular', 'Rush Hour', 'Rush Hour 2', 'Rush Hour 3', 'Money Talks']"
Thirty Two Short Films About Glenn Gould,"['The Red Violin', 'Snow Cake', 'The Saddest Music in the World', 'Closet Monster', 'The Night the Lights Went Out in Georgia']"
Threesome,"['A Princess for Christmas', 'Dumb and Dumber', 'Taking Chance', 'TalhotBlond', 'Crown for Christmas']"
The Nightmare Before Christmas,"['Frankenweenie', 'Mars Attacks!', 'Corpse Bride', 'Sleepy Hollow', 'Charlie and the Chocolate Factory']"
The Three Musketeers,"['Tall Tale', 'Heavyweights', 'The Adventures of Huck Finn', 'Homeward Bound II: Lost in San Francisco', 'Glory Road']"
Tombstone,"['Nixon', 'Deep Rising', 'The Joy Luck Club', 'Mystery, Alaska', 'Funny Bones']"
True Romance,"['Incognito', 'Ace Ventura: When Nature Calls', 'Robin Hood: Prince of Thieves', 'Ace Ventura: Pet Detective', 'Stay Tuned']"
The War Room,"['The Atomic Cafe', 'Inside Deep Throat', 'Jonestown: The Life and Death of Peoples Temple', 'Of Time and the City', 'Otaku']"
The Pagemaster,"['Miracle on 34th Street', 'Max Dugan Returns', 'Because of Winn-Dixie', 'Edward Scissorhands', 'Wizards']"
"Paris, France","['The Adjuster', 'Margarita', 'Black Robe', 'Cube', 'TekWar: TekLab']"
Welcome to the Dollhouse,"['Trees Lounge', 'Bob Roberts', 'The Acid House', 'The Adventures of Sebastian Cole', 'Portraits Chinois']"
Germinal,"['All About My Mother', 'The Secret of the Grain', 'Bellamy', 'Nathalie...', 'Three Seats for the 26th']"
Cronos,"['Apartment Zero', 'Tattoo', 'Films to Keep You Awake: The Christmas Tale', 'Post Mortem', 'Hotel']"
Kika,"['The Flower of My Secret', 'Mutant Action', 'Live Flesh', 'Women on the Verge of a Nervous Breakdown', 'Volver']"
Little Big League,"['Othello', 'The American President', 'Forget Paris', 'City Hall', 'Beyond Rangoon']"
The Slingshot,"['The Man on the Roof', ""The Serpent's Way"", 'P & B', 'False as Water', 'The Emigrants']"
"Ciao, Professore!","['Bread and Chocolate', ""Everybody's Famous!"", 'Dying of Laughter', 'What Will You Do When You Catch Me?', 'Welcome Back, Mr. McDonald']"
The Little Rascals,"['The Money Pit', 'How To Make An American Quilt', 'To Wong Foo, Thanks for Everything! Julie Newmar', 'An American Tail', 'Love 911']"
The Celluloid Closet,"['Inside Job', 'Friends of God: A Road Trip with Alexandra Pelosi', 'An Apology to Elephants', 'Stadtgespräch', 'Hacking Democracy']"
Café au Lait,"['Guantanamera', 'Bossa Nova', 'The Personals', 'The Price of Milk', 'Mujhse Shaadi Karogi']"
Dear Diary,"['The Caiman', 'The Tribulations of Balthazar Kober', 'Savage Nights', 'Good Old Daze', 'Autumn Tale']"
I Don't Want to Talk About It,"['Bless the Beasts & Children', 'Oklahoma Crude', 'The Big Empty', 'Burnt Money', 'The Pearl Color']"
Home Alone,"['Dutch', 'Home Alone 2: Lost in New York', 'Only the Lonely', 'Max Dugan Returns', 'Because of Winn-Dixie']"
Ghost,"['Fatal Attraction', 'Heaven Can Wait', 'Primal Fear', 'Double Jeopardy', 'Fire in the Sky']"
Aladdin,"['Hercules', 'A Goofy Movie', 'The Rescuers', 'Tinker Bell and the Legend of the NeverBeast', 'Tarzan II']"
Terminator 2: Judgment Day,"['The Abyss', 'Strange Days', 'Total Recall', 'Basic Instinct', 'Welcome to Blood City']"
Dances with Wolves,"['Rapa Nui', 'Immortal Beloved', 'Tour de Force', 'Cherry Blossoms', 'Driving Miss Daisy']"
Tough and Deadly,"['Back in Action', 'Guardian Angel', ""No Man's Land"", ""Teheran '43"", 'The Man in the Glass Booth']"
Batman,"['Vision Quest', 'The Color Purple', 'Batman Returns', 'Gorillas in the Mist', 'Innerspace']"
The Silence of the Lambs,"['Mississippi Burning', 'The Hot Spot', 'At Close Range', 'Over the Edge', 'Prince of the City']"
Beauty and the Beast,"['The Rescuers Down Under', 'The Little Mermaid', 'The Princess and the Frog', 'The Ballad of Nessie', 'Paperman']"
Pretty Woman,"['Three Fugitives', 'Dead Poets Society', 'Beaches', 'The Color of Money', 'Stakeout']"
Window to Paris,"['Savage Nights', 'Dear Diary', 'Good Old Daze', 'Autumn Tale', 'The Tribulations of Balthazar Kober']"
The Wooden Man's Bride,"[""Don't Give a Damn"", 'Iron Monkey', 'The Killer', 'The Day of the Locust', 'Temptress Moon']"
A Great Day in Harlem,"['Jumanji', 'Grumpier Old Men', 'Waiting to Exhale', 'Heat', 'Sabrina']"
Bye Bye Love,"[""There's Something About Mary"", 'Mischief', 'Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan', 'Waiting to Exhale', 'Ever After: A Cinderella Story']"
One Fine Day,"['Songs From the North', 'Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan', ""There's Something About Mary"", 'Mischief', 'Waiting to Exhale']"
Fargo,"['Four Weddings and a Funeral', 'Elizabeth', 'The Big Lebowski', 'Dead Man Walking', 'The Hudsucker Proxy']"
Homeward Bound II: Lost in San Francisco,"['Iron Will', 'The Parent Trap', 'The Adventures of Huck Finn', 'Tarzan', ""Squanto: A Warrior's Tale""]"
Heavy Metal,"['Shivers', 'Rock & Rule', 'Sunday in the Country', 'Running', 'The Grey Fox']"
Jane Eyre,"['Jane Eyre', 'Unhook the Stars', 'The Wings of the Dove', 'The Shipping News', 'Flirting with Disaster']"
Bread and Chocolate,"['Bread and Chocolate', ""Everybody's Famous!"", 'Dying of Laughter', 'What Will You Do When You Catch Me?', 'Welcome Back, Mr. McDonald']"
The Aristocats,"['The Fox and the Hound', 'Robin Hood', 'Winnie the Pooh and Tigger Too', ""Mickey's Christmas Carol"", 'The Rescuers']"
The Flower of My Secret,"['Kika', 'Live Flesh', 'Mutant Action', 'Volver', 'Women on the Verge of a Nervous Breakdown']"
Scream of Stone,"['The Great Alone', 'Thrill Ride: The Science of Fun', 'Morning of the Earth', 'Craigslist Joe', 'King Lines']"
My Favorite Season,"['Place Vendome', 'Ponette', 'All or Nothing', 'It All Starts Today', 'Alice and Martin']"
Halfaouine: Boy of the Terraces,"['A Good Marriage', 'Wild Life', 'Standing Tall', 'The Son of Joseph', ""The Aviator's Wife""]"
The Last Supper,"['Harry and Walter Go To New York', 'Fun with Dick and Jane', 'The Replacement Killers', 'Boyz n the Hood', '...And Justice for All']"
Primal Fear,"['Double Jeopardy', 'The Two Jakes', 'The Lawyer', 'Hustle', 'Nick of Time']"
Rude,"['Jumanji', 'Grumpier Old Men', 'Waiting to Exhale', 'Heat', 'Sabrina']"
Land and Freedom,"[""Carla's Song"", 'Liam', 'My Name Is Joe', 'Airbag', 'Faraway, So Close!']"
Denise Calls Up,"['Wristcutters: A Love Story', 'Goldstone', 'De Indringer', 'Man to Man', 'Nikki Glaser: Perfect']"
"Little Indian, Big City","['The Adopted', 'It Boy', 'Nothing to Lose', 'The Last Song', 'Alibi.com']"
Nelly and Monsieur Arnaud,"['Country Life', 'Flirt', 'Venice', 'The Whole Wide World', 'Full Speed']"
